Date ,Day of Challenge ,Activities ,Links 
"2019-07-09, Tuesday",12,"attended a virtual meeting, Study Group sg_applied_dl at 3:30 BST",https://github.com/reallygooday/60daysofudacity/blob/master/day_12.pdf
,,"started reading book ""PyTorch Recepes A Problem-Solution Approach""by Pradeepta Mishra",
,,worked on chatbot ,https://colab.research.google.com/drive/1XgymVaAdjrEuMWGxekqlMvtgkSBLZLIz#scrollTo=72Udiv_SZIzO
,,,
"2019-07-10, Wednesday",13,encouraged @Marcos Junior and @Fitsum Ayalew to take up the challenge,
,,worked on Dog Identification project,
,,,
,,,
,,,
"2019-07-11, Thursday",14,continued working on Dog Breed Identification project,
,,,
,,,
,,,
"2019-07-12, Friday",15,,
